,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
727,2020,From 40 to 49,Male,Saudi Arabia,R2,13
728,2021,From 40 to 49,Male,Saudi Arabia,R4,13
729,2020,Unknown,Male,Yemen,F2,13
735,2021,From 30 to 39,Male,Saudi Arabia,R6,13
736,2017,From 40 to 49,Female,Saudi Arabia,R2,13
738,2016,Unknown,Female,Sudan,R1,13
739,2019,Unknown,Female,Saudi Arabia,F3,13
740,2022,From 30 to 39,Male,Saudi Arabia,F3,13
741,2017,From 40 to 49,Male,Saudi Arabia,R2,13
742,2019,From 20 to 29,Female,Bahrain,R2,13
743,2018,From 40 to 49,Male,Saudi Arabia,R1,13
754,2021,From 20 to 29,Male,Saudi Arabia,R5,12
759,2021,From 20 to 29,Female,Bahrain,R4,12
765,2019,From 40 to 49,Male,Saudi Arabia,R1,12
766,2019,From 40 to 49,Male,Saudi Arabia,R2,12
771,2018,Unknown,Male,Saudi Arabia,R6,12
772,2019,Unknown,Female,Sudan,R4,12
775,2016,Unknown,Male,Egypt,R2,12
776,2017,From 40 to 49,Female,Saudi Arabia,R1,12
777,2017,From 40 to 49,Male,Sudan,F1,12
778,2018,Unknown,Female,Sudan,R5,12
780,2017,From 30 to 39,Male,Saudi Arabia,D2,12
781,2016,Unknown,Male,Sudan,R3,12
783,2017,Unknown,Male,Egypt,F2,12
784,2021,Unknown,Male,Saudi Arabia,R1,12
785,2017,From 30 to 39,Male,Saudi Arabia,F2,12
786,2016,From 30 to 39,Female,Sudan,R1,12
787,2016,Unknown,Female,Yemen,F1,11
788,2019,Unknown,Male,Syria,R4,11
792,2018,From 40 to 49,Female,Saudi Arabia,R3,11
794,2016,From 30 to 39,Female,Saudi Arabia,F1,11
796,2016,Unknown,Female,Sudan,R5,11
797,2016,Unknown,Female,Sudan,R4,11
801,2018,From 40 to 49,Male,Saudi Arabia,R3,11
803,2016,Unknown,Female,Yemen,R1,11
804,2016,Unknown,Male,Egypt,F1,11
805,2017,Unknown,Male,Syria,R2,11
809,2021,Unknown,Male,Yemen,F2,11
810,2018,Unknown,Female,Yemen,R3,11
813,2017,From 20 to 29,Female,Saudi Arabia,D2,11
817,2016,Unknown,Female,Sudan,F1,11
822,2018,Unknown,Male,Yemen,F1,11
826,2016,From 40 to 49,Male,Saudi Arabia,F1,11
829,2016,From 20 to 29,Female,Saudi Arabia,D1,11
830,2017,From 40 to 49,Female,Saudi Arabia,D1,11
831,2022,From 30 to 39,Female,Saudi Arabia,F3,11
833,2018,Unknown,Male,Syria,R3,11
835,2018,From 40 to 49,Female,Saudi Arabia,R2,11
844,2019,Unknown,Female,Yemen,R4,10
846,2016,From 40 to 49,Male,Saudi Arabia,R5,10
848,2018,From 40 to 49,Female,Saudi Arabia,R5,10
850,2021,Unknown,Male,Yemen,F1,10
855,2021,From 40 to 49,Male,Saudi Arabia,F2,10
857,2016,Unknown,Male,Sudan,R2,10
859,2021,From 40 to 49,Male,Saudi Arabia,R3,10
866,2016,Unknown,Male,Sudan,F2,10
871,2017,Unknown,Male,Sudan,R4,10
872,2017,Unknown,Male,Sudan,F2,10
873,2018,Unknown,Female,Saudi Arabia,F3,10
879,2017,From 20 to 29,Female,Saudi Arabia,R4,10
880,2020,From 40 to 49,Male,Saudi Arabia,F1,10
885,2018,From 40 to 49,Male,Egypt,F1,10
892,2016,From 20 to 29,Female,Saudi Arabia,R3,10
893,2021,From 30 to 39,Male,Saudi Arabia,F3,10
894,2021,From 40 to 49,Female,Saudi Arabia,F2,10
895,2018,From 30 to 39,Male,Saudi Arabia,D2,10
896,2016,From 30 to 39,Female,Yemen,R1,10
898,2020,From 40 to 49,Male,Saudi Arabia,R3,10
900,2017,From 30 to 39,Female,Sudan,R2,10
901,2017,Unknown,Female,Yemen,R2,10
902,2018,From 40 to 49,Male,Sudan,F2,10
905,2017,From 30 to 39,Female,Yemen,R2,10
907,2019,From 20 to 29,Male,Bahrain,R1,10
