,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
383,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Unknown,68,yes
384,2021,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Unknown,67,yes
386,2020,Buraidah,King Fahd Specialist Hospital in Buraidah,Unknown,67,yes
387,2019,Khobar,King Fahd University Hospital in Khobar,Imam Abdulrahman Bin Faisal University,67,no
388,2018,Madinah,JointProgram for Family Medicine in Madinah,Taibah University,67,no
392,2020,Riyadh,AlYamamah Hospital in Riyadh,Unknown,66,yes
394,2017,Madinah,JointProgram for Family Medicine in Madinah,Taibah University,66,no
399,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud University,66,no
401,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,65,yes
402,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,King Khalid University,65,no
406,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,Unknown,65,yes
407,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Unknown,65,yes
408,2018,Jeddah,King Fahd General Hospital in Jeddah,Unknown,65,yes
410,2018,Riyadh,King Khalid University Hospital in Riyadh,Unknown,65,yes
411,2018,Makkah,King Abdullah Medical City in the Holy Capital,Unknown,64,yes
414,2021,Makkah,King Abdulaziz Hospital in Mecca,Unknown,64,yes
415,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Jazan University,64,no
416,2017,Riyadh,Security Forces Hospital in Riyadh,King Saud University,64,no
417,2020,Taif,The program of the Ministry of Health in Taif ,Unknown,64,yes
419,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Khalid University,64,no
420,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,Unknown,64,yes
421,2020,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,64,no
423,2020,Makkah,Maternity and Children Hospital in Mecca,Unknown,64,yes
426,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Unknown,63,yes
427,2020,Taif,MOH JointProgram for Family Medicine -Taif,Unknown,63,yes
429,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,King Faisal University,63,no
430,2021,Jubail,Royal Commission Medical Center in Jubail,Unknown,63,yes
431,2021,Taif,MOH JointProgram for Family Medicine -Taif,Unknown,63,yes
432,2019,Taif,King Faisal Medical Complex in Taif,Unknown,63,yes
433,2019,Makkah,King Abdullah Medical City in the Holy Capital,Umm Al Qura University,63,no
434,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Taibah University,63,no
435,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Abdulaziz University,62,no
436,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Unknown,62,yes
438,2020,Manama,Salmaniya Medical Complex in Manama,Unknown,62,yes
439,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Taibah University,62,no
441,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,King Faisal University,62,no
444,2020,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Unknown,61,yes
445,2020,Riyadh,King Fahad Medical City in Riyadh,King Saud University,61,no
447,2020,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Unknown,61,yes
448,2016,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,61,no
450,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Khalid University,60,no
451,2020,Riyadh,"Joint training program in the central region, Riyadh",Unknown,60,yes
453,2017,Madinah,King Fahd Hospital in Medina,Taibah University,60,no
454,2018,Madinah,King Fahd Hospital in Medina,Unknown,59,yes
455,2019,Dammam,Eastern Health Cluster,Unknown,59,yes
456,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,59,yes
461,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,Taif University,59,no
462,2018,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,58,yes
465,2019,Madinah,Maternity and Children Hospital in Medina,Unknown,58,yes
466,2017,Hofuf,King Fahad Hospital in Hofuf,King Faisal University,58,no
467,2019,Makkah,JointProgram for Family Medicine in Makkah,Umm Al Qura University,58,no
468,2017,Jeddah,JointProgram for Family Medicine in Jeddah,King Abdulaziz University,58,no
469,2018,Jeddah,JointProgram for Family Medicine in Jeddah,King Abdulaziz University,58,no
